Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Age,Gender,Device,Kategori,Durasi Langganan (hari),Country_Australia,Country_Brazil,Country_Canada,Country_France,Country_Germany,Country_Italy,Country_Mexico,Country_Spain,Country_United Kingdom,Country_United States,Plan Duration_1 Month
0,10,2022-01-15,2023-10-06,28,1,3,1,629,False,False,False,False,False,False,False,False,False,True,True
1,15,2021-05-09,2023-06-22,35,0,2,1,774,False,False,True,False,False,False,False,False,False,False,True
2,12,2023-02-28,2023-06-27,42,1,4,1,119,False,False,False,False,False,False,False,False,True,False,True
2,12,2022-10-07,2023-06-26,51,0,1,2,262,True,False,False,False,False,False,False,False,False,False,True
0,10,2023-01-05,2023-06-28,33,1,3,1,174,False,False,False,False,True,False,False,False,False,False,True
1,15,2022-03-18,2023-06-27,29,0,4,1,466,False,False,False,True,False,False,False,False,False,False,True
2,12,2021-09-12,2023-06-25,46,1,2,1,651,False,True,False,False,False,False,False,False,False,False,True
0,10,2023-02-04,2023-06-24,39,0,1,1,140,False,False,False,False,False,False,True,False,False,False,True
2,12,2022-10-20,2023-06-23,37,1,3,1,246,False,False,False,False,False,False,False,True,False,False,True
1,15,2023-07-01,2023-06-22,44,0,4,1,-9,False,False,False,False,False,True,False,False,False,False,True
0,10,2022-05-16,2023-06-22,31,0,3,1,402,False,False,False,False,False,False,False,False,False,True,True
1,15,2023-03-23,2023-06-28,45,1,2,1,97,False,False,True,False,False,False,False,False,False,False,True
2,12,2021-11-30,2023-06-27,48,0,1,1,574,False,False,False,False,False,False,False,False,True,False,True
0,10,2022-01-08,2023-06-26,27,1,3,1,534,True,False,False,False,False,False,False,False,False,False,True
2,12,2023-09-05,2023-06-28,38,0,4,1,-69,False,False,False,False,True,False,False,False,False,False,True
1,15,2022-07-04,2023-06-27,36,1,2,1,358,False,False,False,True,False,False,False,False,False,False,True
0,10,2022-01-24,2023-06-25,30,0,1,1,517,False,True,False,False,False,False,False,False,False,False,True
2,12,2021-10-18,2023-06-24,43,1,3,1,614,False,False,False,False,False,False,True,False,False,False,True
1,15,2023-02-15,2023-06-23,32,0,4,1,128,False,False,False,False,False,False,False,True,False,False,True
0,10,2023-05-27,2023-06-22,41,1,2,1,26,False,False,False,False,False,True,False,False,False,False,True
1,15,2023-10-06,2023-06-22,26,0,1,1,-106,False,False,False,False,False,False,False,False,False,True,True
0,10,2022-07-22,2023-06-28,34,1,3,1,341,False,False,True,False,False,False,False,False,False,False,True
2,12,2021-05-12,2023-06-27,49,0,4,2,776,False,False,False,False,False,False,False,False,True,False,True
2,12,2022-03-04,2023-06-26,31,1,2,1,479,True,False,False,False,False,False,False,False,False,False,True
0,10,2023-03-14,2023-06-28,40,0,1,1,106,False,False,False,False,True,False,False,False,False,False,True
1,15,2022-12-01,2023-06-27,29,1,3,1,208,False,False,False,True,False,False,False,False,False,False,True
0,10,2022-08-29,2023-06-25,47,0,4,1,300,False,True,False,False,False,False,False,False,False,False,True
2,12,2021-09-27,2023-06-24,33,1,2,1,635,False,False,False,False,False,False,True,False,False,False,True
1,15,2022-12-19,2023-06-23,36,0,1,1,186,False,False,False,False,False,False,False,True,False,False,True
0,10,2023-05-17,2023-06-22,42,1,3,1,36,False,False,False,False,False,True,False,False,False,False,True
1,15,2023-03-02,2023-06-22,28,0,4,1,112,False,False,False,False,False,False,False,False,False,True,True
